date,mktrf,smb,hml,rmw,cma,rf,umd
27/08/2019,-0.004600,-0.010000,-0.006700,0.002500,0.000700,0.00007,0.009100
28/08/2019,0.006800,0.006200,0.006200,0.003500,0.002100,0.00007,-0.008800
29/08/2019,0.013500,0.004000,0.003400,0.001700,-0.001800,0.00007,-0.009400
30/08/2019,0.000300,-0.002500,0.002400,0.001000,0.001300,0.00007,-0.002700
03/09/2019,-0.008600,-0.009300,0.001000,-0.002000,0.004500,0.00009,0.005500
04/09/2019,0.010800,-0.001500,0.004300,0.002500,-0.000600,0.00009,-0.009100
05/09/2019,0.014200,0.005500,0.007000,0.004300,0.000000,0.00009,-0.020000
06/09/2019,-0.000200,-0.003600,0.000400,0.001600,0.004200,0.00009,-0.003900
09/09/2019,0.000700,0.013500,0.030600,0.008800,0.004300,0.00009,-0.038300
10/09/2019,0.001700,0.014100,0.011200,-0.000300,0.005900,0.00009,-0.031600
11/09/2019,0.008800,0.013700,-0.000400,-0.002300,0.003400,0.00009,-0.004400
12/09/2019,0.002200,-0.003900,-0.001300,-0.002200,-0.001800,0.00009,0.009900
13/09/2019,-0.000100,0.001800,0.007400,-0.000200,-0.001100,0.00009,-0.007000
16/09/2019,-0.002300,0.008800,0.005300,-0.003200,0.000500,0.00009,-0.018600
17/09/2019,0.001700,-0.007900,-0.011900,-0.001900,-0.003500,0.00009,0.023700
18/09/2019,-0.000500,-0.007800,0.000600,-0.001200,0.000400,0.00009,0.010100
19/09/2019,-0.000500,-0.004800,-0.004600,0.000400,-0.002100,0.00009,0.005700
